datetime,symbol,open,high,low,close,volume
2025-04-03 02:00:00,OANDA:XAUUSD,3121.945,3127.34,3121.67,3124.32,8743.0
2025-04-03 03:00:00,OANDA:XAUUSD,3124.33,3145.34,3104.79,3134.305,38241.0
2025-04-03 05:00:00,OANDA:XAUUSD,3131.44,3148.06,3113.525,3145.955,26192.0
2025-04-03 06:00:00,OANDA:XAUUSD,3145.995,3167.835,3145.995,3162.725,28264.0
2025-04-03 07:00:00,OANDA:XAUUSD,3162.73,3164.975,3140.695,3151.335,34500.0
2025-04-03 08:00:00,OANDA:XAUUSD,3151.465,3163.12,3147.9,3153.535,38719.0
2025-04-03 09:00:00,OANDA:XAUUSD,3153.38,3155.545,3142.355,3145.255,19242.0
2025-04-03 10:00:00,OANDA:XAUUSD,3145.245,3152.34,3144.79,3148.175,17888.0
2025-04-03 11:00:00,OANDA:XAUUSD,3148.195,3149.84,3139.16,3140.485,10920.0
2025-04-03 12:00:00,OANDA:XAUUSD,3140.56,3141.035,3124.195,3131.88,25044.0
2025-04-03 13:00:00,OANDA:XAUUSD,3131.91,3134.15,3116.515,3127.895,37034.0
2025-04-03 14:00:00,OANDA:XAUUSD,3127.89,3130.305,3119.95,3129.17,29595.0
2025-04-03 15:00:00,OANDA:XAUUSD,3129.26,3132.15,3126.105,3129.11,23922.0
2025-04-03 16:00:00,OANDA:XAUUSD,3129.12,3129.625,3121.57,3121.725,25538.0
2025-04-03 17:00:00,OANDA:XAUUSD,3121.7,3123.14,3089.1,3095.55,48149.0
2025-04-03 18:00:00,OANDA:XAUUSD,3095.59,3100.2,3085.255,3093.21,36467.0
2025-04-03 19:00:00,OANDA:XAUUSD,3093.14,3094.82,3062.28,3076.32,49324.0
2025-04-03 20:00:00,OANDA:XAUUSD,3076.31,3093.48,3054.19,3086.005,60659.0
2025-04-03 21:00:00,OANDA:XAUUSD,3088.875,3135.665,3087.935,3128.95,64019.0
